11n_1	{1,1,1,2,-1,3,-2,3,2,4,-3,4}
11n_2	{1,1,1,2,-1,2,3,2,2,-4,3,-4}
11n_3	{1,1,1,2,-1,2,-3,-2,-2,4,-3,4}
11n_4	{1,1,1,2,-1,-1,-3,2,-1,-3,2}
11n_5	{1,1,1,2,-1,-3,2,-1,-3,2,2}
11n_6	{1,1,2,-1,2,1,-3,-2,-2,4,-3,4}
11n_7	{1,1,1,2,-1,3,-2,3,-2,-4,3,-4}
11n_8	{1,1,2,-1,2,1,-3,2,2,4,-3,4}
11n_8	{-1,2,3,3,2,2,1,1,2,-3,-2,1,-2}
11n_9	{1,1,1,2,2,1,1,2,-3,2,-3}
11n_10	{1,1,1,2,-1,2,2,1,3,-2,3}
11n_11	{1,1,1,1,2,-1,2,-1,-3,2,-3}
11n_12	{1,1,-2,1,-2,-2,3,2,-1,2,3}
11n_13	{1,1,1,1,1,2,1,1,-3,2,-3}
11n_14	{1,1,1,1,2,-1,2,1,3,-2,3}
11n_15	{1,1,1,1,1,2,-1,-1,-3,2,-3}
11n_16	{1,1,2,-1,2,2,3,2,2,-4,3,-4}
11n_17	{1,1,2,-1,2,3,-2,3,2,4,-3,4}
11n_18	{1,1,2,-1,2,2,3,-2,-2,-4,3,-4}
11n_19	{1,1,1,1,1,-2,-1,-1,3,-2,3}
11n_20	{1,1,2,-1,2,2,-3,-2,-2,4,-3,4}
11n_21	{1,1,1,2,-1,-1,-3,2,2,-3,-3}
11n_22	{1,1,2,-1,2,1,3,-2,-2,3,3}
11n_23	{1,1,1,2,1,1,-3,2,2,-3,-3}
11n_24	{1,1,1,-2,-1,-1,3,-2,-2,3,3}
11n_25	{1,1,1,-2,1,1,-3,2,-1,-3,2}
11n_26	{1,1,2,-1,2,1,3,-2,-2,-2,3}
11n_27	{1,1,1,2,1,1,-3,2,2,2,-3}
11n_28	{1,1,1,2,-1,-1,2,3,-2,-4,3,-4}
11n_29	{1,1,2,-1,-1,2,1,-3,2,4,-3,4}
11n_30	{1,1,1,2,1,1,2,3,-2,-4,3,-4}
11n_31	{1,1,2,-1,2,1,3,2,2,-4,3,-4}
11n_32	{1,1,1,2,-1,-1,-3,-2,-2,4,-3,4}
11n_33	{1,1,1,-2,-1,-1,3,2,2,-4,3,-4}
11n_34	{1,1,-2,1,-2,1,-3,2,2,-3,-3}
11n_35	{1,1,-2,1,-2,1,3,2,2,3,3}
11n_36	{1,1,-2,1,-2,1,-3,-2,-2,-3,-3}
11n_37	{1,1,1,2,-1,-1,-3,2,1,-3,-2}
11n_38	{1,1,1,-2,-1,-3,2,-1,2,-3,-2}
11n_39	{1,1,1,2,-1,-1,-3,2,2,-3,2,-3,-2}
11n_40	{1,-2,1,-2,-2,1,3,2,2,2,3}
11n_41	{1,-2,1,-2,-2,1,-3,-2,-2,-2,-3}
11n_42	{1,1,1,1,-2,-2,-1,3,-2,-2,3,-2,3}
11n_43	{1,1,-2,1,-2,1,3,2,2,2,3}
11n_44	{1,1,-2,1,-2,1,-3,-2,-2,-2,-3}
11n_45	{1,1,-2,-2,1,-3,2,2,-3,2,-3}
11n_46	{1,1,2,2,1,3,-2,-2,3,-2,3}
11n_47	{1,1,2,2,1,-3,2,2,-3,2,-3}
11n_48	{1,1,1,1,2,-1,-1,-1,-3,2,-3}
11n_49	{1,1,2,-1,2,3,-2,-2,-2,-4,3,-4}
11n_50	{1,1,2,-1,2,3,-2,1,-2,-2,3}
11n_51	{1,1,1,-2,-1,-1,-3,2,-1,-3,-2}
11n_52	{1,1,1,2,-1,-1,2,2,-3,2,-3}
11n_53	{1,1,1,-2,-1,-1,-2,-2,3,-2,3}
11n_54	{1,1,2,-1,-1,2,1,3,-2,3,3}
11n_55	{1,1,1,2,-1,-1,2,-3,2,-3,-3}
11n_56	{1,1,1,-2,-1,-1,-2,3,-2,3,3}
11n_57	{1,1,1,2,1,1,2,2,-3,2,-3}
11n_58	{1,1,1,2,-1,-1,-3,2,-3,-3,-3}
11n_59	{1,1,1,-2,1,-2,3,2,2,2,3}
11n_60	{1,1,1,2,1,1,-3,2,-3,-3,-3}
11n_61	{1,1,1,2,1,1,2,-3,2,-3,-3}
11n_62	{1,1,1,2,-1,-1,-3,2,-3,-4,3,-4}
11n_63	{1,1,2,-1,2,1,3,-2,3,4,-3,4}
11n_64	{1,1,1,2,1,1,-3,2,-3,-4,3,-4}
11n_65	{1,2,-1,2,2,3,-2,1,-2,-2,3}
11n_66	{1,1,1,2,-1,2,1,-3,2,-1,2,-3,-3}
11n_67	{1,1,1,2,-1,-1,3,-2,-2,-4,3,2,-4,3}
11n_68	{1,1,2,-1,-3,-2,-2,-4,3,-2,-4,-3}
11n_69	{1,1,2,-1,3,2,2,-4,3,2,-4,3}
11n_70	{1,1,1,-2,1,1,-3,2,1,-3,-2}
11n_71	{1,1,2,2,1,3,-2,-2,-2,3,3}
11n_72	{1,1,-2,-2,1,3,2,2,2,3,3}
11n_73	{1,1,-2,-2,1,-3,2,2,2,-3,-3}
11n_74	{1,1,1,1,-2,-2,-1,3,-2,-2,-2,3,3}
11n_75	{1,1,-2,-2,-2,1,3,2,2,2,3}
11n_76	{1,1,-2,-2,1,-3,-2,-2,-2,-3,-3}
11n_77	{1,1,2,2,1,3,2,2,2,3,3}
11n_78	{1,1,-2,-2,-2,1,-3,-2,-2,-2,-3}
11n_79	{1,1,1,-2,-1,-1,3,-2,3,4,-3,4}
11n_80	{1,1,1,2,1,1,-3,-2,-2,4,-3,4}
11n_81	{1,1,2,2,2,1,-3,2,2,2,-3}
11n_82	{1,1,1,1,-2,-1,-1,-1,3,-2,3}
11n_83	{1,1,2,-1,2,-3,-2,-2,-2,4,-3,4}
11n_84	{1,1,-2,1,-2,3,2,-1,2,2,3}
11n_85	{1,1,1,-2,-1,-1,-1,-2,3,-2,3}
11n_86	{1,1,2,-1,-1,-3,2,-1,2,2,-3}
11n_87	{1,1,2,-1,2,1,3,-2,1,3,-2}
11n_88	{1,1,1,1,2,1,1,1,-3,2,-3}
11n_89	{1,1,1,-2,1,3,2,-1,2,2,3}
11n_90	{1,1,2,-1,2,3,2,2,2,-4,3,-4}
11n_91	{1,1,2,-1,-3,2,4,3,-2,3,3,4}
11n_92	{1,1,1,-2,-1,-1,3,-2,1,-2,3}
11n_93	{1,1,1,2,1,1,-3,2,-1,2,3,3,3}
11n_94	{1,1,2,-1,-3,2,-1,-3,2,2,-3}
11n_95	{1,1,1,2,-1,2,3,2,-1,2,3}
11n_96	{1,1,2,1,1,-3,-2,1,-2,-2,-3}
11n_97	{1,1,1,-2,-1,-1,3,-2,-2,-4,3,2,-4,3}
11n_98	{1,1,1,-2,1,-2,-1,3,-2,1,-2,-3,-3}
